sample,SA,NQ,temp,CO2ad
U/PC-0.5,2067,0.08,298,4.25
U/PC-1,1703,0.16,298,3.64
U/PC-2,775,0.22,298,2.72
U/PC-3,404,0.27,298,2
RFC,724,0.13,298,2.82
RFC_C45,1611,0.07,298,4.41
RFC_N10,1458,0.21,298,4.54
MFC-700-0.1,768,0.92,298,2.88
MFC-700-0.2,1658,1.72,298,3.3
MFC-750-0.2,1373,1.51,298,2.47
NC-600-4,1604,0.11,298,4.3
NC-650-3,1535,0.19,298,4.8
NC-700-3,1596,0.09,298,4.7
NC-700-4,1937,0.09,298,4.4
EN-400-2,1270,0.36,298,2.73
EN-450-2,1920,0.47,298,3.14
EN-500-2,2270,0.34,298,2.78
LNAC-600,1305,0.77,298,3.89
LNAC-650,1991,0.61,298,3.43
LNAC-700,1996,0.29,298,3.35
LNAC-750,2213,0.1,298,3.24
LNAC-800,978,0.06,298,2.82
N-AC-600-1,1173.8,0.49,298,3.71
N-AC-600-2,1504.8,0.18,298,4.58
N-AC-600-3,1684.4,0.75,298,4.34
N-AC-700-2,1702.2,0.26,298,4.14
HNP-600-2,1479,0.42,298,3.56
HNP-650-3,2363,0.13,298,4.13
HNP-700-2,1703,0.43,298,3.82
HNP-700-4,2532,0.18,298,3.22
NP-650-3,1755,0.1,298,4.26
CF-1,422,2.42,298,2.28
ACF-1,536,0.58,298,2.48
ACF-2,497,0.75,298,2.34
ACF-3,691,0.8,298,2.55
ACF-4,675,1.75,298,2.51
PAN-CNFs,25,5.42,298,1.98
0.8PAN/1.0PVP-CNFs,410,4.42,298,2.5
1.2PAN/0.6PEG-CNFs,484,4.7,298,2.2
