sample,SA,NMV,N,T,CO2ad
NC-600-3,1383,0.65,1.08,298,4
NC-600-4,1604,0.75,0.81,298,4.3
NC-650-2,1178,0.62,1.23,298,4.1
NC-650-3,1535,0.73,0.91,298,4.8
NC-650-4,1687,0.79,0.7,298,4.3
NC-700-2,1550,0.7,0.86,298,4.1
NC-700-3,1596,0.82,0.73,298,4.7
NC-700-4,1937,0.83,0.61,298,4.4
C-650-3,1513,0.55,0.23,298,3.7
C-650-3-N,1012,0.48,8.01,298,3
UFC,0.39,0.12,22.83,298,0.71
UFC-550-2,760,0.34,17.25,298,3.04
UFC-550-3,873,0.48,15.08,298,3.4
UFC-550-4,649,0.36,12.04,298,2.79
UFC-600-2,1254,0.49,11.74,298,3.23
UFC-600-3,1686,0.64,9.87,298,3.53
UFC-600-4,1246,0.57,8.86,298,3.21
UFC-650-2,2244,0.81,8.47,298,3.09
UFC-650-3,2023,0.72,7.51,298,2.83
UFC-650-4,1651,0.7,6.32,298,2.82
LC,4,0.13,1.55,298,1
LC-450-1,792,0.42,3.53,298,3.24
LC-450-2,1651,0.64,3.85,298,3.33
LC-450-3,1557,0.47,4.27,298,2.67
LC-500-1,833,0.44,3.24,298,3.38
LC-500-2,1924,0.7,3.64,298,3.22
LC-500-3,1667,0.59,4.04,298,3.04
LC-550-1,1087,0.54,2.55,298,3.5
LC-550-2,1883,0.58,3.04,298,2.21
LC-550-3,1311,0.47,3.65,298,2.44
GC,20,0.12,0.54,298,0.64
NGC,65,0.21,20.66,298,1.82
NGC-600-2,933,0.48,12.27,298,3.43
NGC-600-3,1005,0.48,12.21,298,3.46
NGC-600-4,1170,0.55,11.81,298,3.74
NGC-650-2,1754,0.73,10.51,298,3.69
NGC-650-3,1699,0.79,9.54,298,3.65
NGC-650-4,1824,0.83,7.74,298,3.92
NGC-700-2,2572,1.03,6.57,298,3.75
NGC-700-3,2510,1.06,5.03,298,3.56
NGC-700-4,2827,1.06,4.69,298,3.61
GC-650-4,1020,0.51,0.32,298,3.66
HSC,93,0.16,1.22,298,1.56
HSM,4.4,0.13,16.89,298,1.1
HSM-550-1,1118,0.5,4.94,298,3.97
HSM-550-2,1696,0.78,4.32,298,4.23
HSM-550-3,1354,0.58,3.88,298,4.16
HSM-600-1,1523,0.63,3.68,298,3.87
HSM-600-2,2319,0.94,3.27,298,3.67
HSM-600-3,2195,0.87,2.47,298,3.31
HSM-650-1,1661,0.73,2.53,298,3.79
HSM-650-2,2178,0.83,1.89,298,3.35
HSM-650-3,2054,0.82,1.33,298,3.28
EN-400-1,710,0.99,2.71,298,1.93
EN-400-2,1270,0.12,2.8,298,2.73
EN-400-3,1010,0.12,3.01,298,2.7
EN-450-1,1100,0.14,2.27,298,2.96
EN-450-2,1920,0.14,2.62,298,3.14
EN-450-3,1530,0.12,2.96,298,2.69
EN-500-1,770,0.11,1.52,298,2.38
EN-500-2,2270,0.11,1.78,298,2.78
EN-500-3,1290,0.1,1.94,298,2.32
WSC,22,0.18,1.03,298,1.56
WSM,5,0.15,16.61,298,1.02
WSM-500-1,759,0.35,8.48,298,3.51
WSM-500-2,1275,0.59,7.26,298,4
WSM-500-3,1601,0.69,4.36,298,4.05
WSM-550-1,1131,0.49,7.15,298,3.97
WSM-550-2,1535,0.67,4.9,298,4.22
WSM-550-3,2129,0.81,4.01,298,4.06
WSM-600-1,1391,0.64,4.63,298,3.64
WSM-600-2,2194,0.89,3.78,298,3.73
WSM-600-3,2384,0.95,2.76,298,3.62
WSM-650-1,1649,0.76,3.81,298,3.86
WSM-650-2,2164,0.82,3.02,298,3.3
WSM-650-3,2171,0.83,2.63,298,3
HSC,93,0.16,1.22,298,1.56
HSC-500-1,502,0.26,2.74,298,2.24
HSC-500-2,1991,0.82,2.94,298,3.73
HSC-500-3,1833,0.7,3.21,298,3.39
HSC-550-1,1099,0.51,2.53,298,4.32
HSC-550-2,1821,0.74,2.75,298,3.5
HSC-550-3,2185,0.76,2.97,298,3.48
HSC-600-1,1343,0.66,1.98,298,3.94
HSC-600-2,2318,0.86,2.14,298,3.52
HSC-600-3,2321,0.84,2.3,298,3.38
LSC-400-1,848,0.38,3.77,298,3.39
LSC-400-2,1164,0.53,4.01,298,3.67
LSC-400-3,1087,0.42,4.5,298,3.22
LSC-450-1,1105,0.46,3.21,298,3.69
LSC-450-2,2053,0.7,3.64,298,3.47
LSC-450-3,1921,0.68,4.03,298,3.12
LSC-500-1,1113,0.53,2.61,298,3.88
LSC-500-2,2264,0.75,3.08,298,3.51
LSC-500-3,1824,0.61,3.45,298,3.45
R,536,0.32,1.05,298,2.82
RN-400-1,735,0.44,2.72,298,3.32
RN-400-2,936,0.5,4.56,298,4.12
RN-400-3,1115,0.48,5.36,298,4.14
RN-400-4,1003,0.45,6.05,298,3.83
RN-450-1,787,0.47,1.56,298,3.86
RN-450-2,1088,0.57,3.9,298,4.06
RN-450-3,1432,0.74,4.25,298,4.64
RN-450-4,1569,0.69,5.94,298,4.4
RN-500-1,932,0.53,1.39,298,4.03
RN-500-2,1288,0.72,3.85,298,4.61
RN-500-3,1924,0.94,4.09,298,4.57
RN-500-4,2155,0.86,5.74,298,4.38
RK-450-3,704,0.4,1.07,298,3.36
GN,5,0.14,17.14,298,0.67
GN-600-1,821,0.46,12.17,298,3.99
GN-600-2,1267,0.6,11.93,298,4.24
GN-600-3,1398,0.65,11.67,298,4.02
GN-600-4,1412,0.64,11.23,298,3.93
GN-650-1,1734,0.77,9.24,298,4.26
GN-650-2,1960,0.78,8.56,298,4.23
GN-650-3,2167,0.85,7.23,298,4.21
GN-650-4,2016,0.81,6.85,298,4.07
GN-700-1,2394,0.87,6.94,298,3.92
GN-700-2,2659,0.94,6.72,298,3.71
GN-700-3,2655,0.89,6.43,298,3.51
GN-700-4,2470,0.88,6.2,298,3.42
R,536,0.32,1.05,298,2.82
RUK-600-2,1040,0.64,2.33,298,4.27
RUK-600-3,1404,0.78,2.13,298,4.61
RUK-600-4,1621,0.82,1.95,298,4.58
RUK-650-2,1556,0.94,1.88,298,4.39
RUK-650-3,1844,0.82,1.56,298,4.34
RUK-650-4,1955,0.97,1.38,298,4.32
RUK-700-2,1914,0.89,1.62,298,4.1
RUK-700-3,2172,0.95,1.45,298,3.92
RUK-700-4,2015,0.84,1.26,298,3.3
RK-600-3,984,0.53,1.01,298,3.84
C,21,0.17,0.26,298,1.53
CN-600-2,947,0.48,2.76,298,3.45
CN-600-3,1082,0.49,2.74,298,3.71
CN-600-4,1324,0.59,1.52,298,3.49
CN-700-2,1199,0.56,1.42,298,3.07
CN-700-3,1354,0.63,1.34,298,3.03
CN-800-2,1329,0.62,1.13,298,2.86
CN-800-3,1430,0.66,0.86,298,2.78
C-600-3,329,0.26,0.23,298,2.64
CK-600-3,1383,0.65,1.08,298,4
UC-600-2,1239,0.55,1.98,298,3.69
UC-600-3,1500,0.65,0.86,298,4.25
UC-600-4,1636,0.71,0.28,298,3.89
UC-650-2,1394,0.65,1.64,298,4.4
UC-650-3,1755,0.75,0.81,298,4.26
UC-650-4,1900,0.82,0.58,298,4.16
UC-700-2,1734,0.72,1.26,298,4.08
UC-700-3,2232,0.89,0.64,298,4.15
UC-700-4,2299,1.01,0.29,298,3.8
C-650-2,1088,0.52,0.17,298,3.32
PC-700,1454,0.23,1.71,298,3.7
NPC-500,1114,0.24,3.8,298,3.59
NPC-600,1311,0.28,3.73,298,3.98
NPC-700,1501,0.3,2.43,298,4.2
NPC-800,1734,0.22,2.03,298,3.77
N-AC-500-2,1152,0.46,9.1,298,3.9
N-AC-600-1,1173.8,0.42,7.2,298,3.71
N-AC-600-2,1504.8,0.61,7.7,298,4.58
N-AC-600-3,1684.4,0.58,7.4,298,4.34
N-AC-700-2,1702.2,0.59,5.6,298,4.14
PFK-650-1,605,0.36,14.36,298,2.96
PFK-650-1.5,759,0.43,11.98,298,3.28
PFK-650-2,989,0.44,9.43,298,3.25
PFK-700-1,1294,0.57,12.17,298,3.64
PFK-700-1.5,1757,0.74,7.68,298,4.03
PFK-700-2,2106,0.79,3.91,298,3.49
PFK-750-1,2032,0.81,7.31,298,3.74
PFK-750-1.5,2292,0.89,4.01,298,3.1
PFK-750-2,2330,0.88,2.92,298,3.08
LC,3.82,0.13,1.55,298,1
LCM-500-1,687,0.33,7.69,298,3.21
LCM-500-2,1392,0.58,5.53,298,3.66
LCM-500-3,1491,0.63,3.97,298,3.49
LCM-550-1,1122,0.48,6.83,298,3.5
LCM-550-2,1487,0.61,4.09,298,3.87
LCM-550-3,2074,0.79,3.01,298,3.67
LCM-600-1,1272,0.57,4.97,298,3.5
LCM-600-2,2182,0.78,3.67,298,3.2
LCM-600-3,2340,0.81,2.54,298,2.94
LCM-650-1,1500,0.61,3.21,298,3.08
LCM-650-2,1860,0.65,2.29,298,2.76
LCM-650-3,2124,0.69,1.26,298,2.53
SC,17,0.17,3.38,298,0.49
SC-600-2,935,0.46,3.68,298,3.63
SC-600-4,1441,0.55,5.16,298,4.04
SC-650-2,1117,0.63,5.38,298,4.49
SC-650-4,1482,0.73,5.06,298,3.87
SC-700-2,1408,0.67,3.81,298,3.73
SC-700-4,1577,0.74,2.6,298,3.99
C,21,0.17,0.26,298,1.53
HC,38,0.17,0.34,298,1.57
NC,13,0.19,14.43,298,1.76
NHC,14,0.17,15.48,298,1.73
NHC-600-1,1037,0.52,8,298,4.06
NHC-600-2,1187,0.6,6.42,298,3.95
NHC-600-3,1970,0.83,4.21,298,4.13
NHC-600-4,2339,0.8,3.26,298,3.6
NHC-650-1,1593,0.77,5.72,298,4.47
NHC-650-2,1694,0.77,4.64,298,4.37
NHC-650-3,1952,0.85,3.42,298,4.23
NHC-650-4,2492,0.87,2.01,298,3.95
NHC-700-1,2234,0.94,3.55,298,4.25
NHC-700-2,2241,0.99,2.15,298,3.98
NHC-700-3,2782,1.04,1.96,298,3.97
NHC-700-4,2995,0.94,1.83,298,3.49
NC-650-1,1483,0.61,4.56,298,4.26
P,0.43,0.12,0.2,298,0.36
NP,2.37,0.09,9.16,298,0.55
HNP,0.13,0.11,11.08,298,0.86
HNP-600-2,1479,0.61,3.25,298,3.56
HNP-600-3,1699,0.72,2.68,298,3.95
HNP-600-4,1888,0.76,1.7,298,3.29
HNP-650-2,1394,0.71,2.79,298,3.98
HNP-650-3,2363,0.88,1.61,298,4.13
HNP-650-4,2526,0.84,1.41,298,3.28
HNP-700-2,1703,0.74,2.18,298,3.82
HNP-700-3,2423,0.92,1.34,298,3.49
HNP-700-4,2532,0.59,1.2,298,3.22
NP-650-3,1755,0.75,0.81,298,4.26
P,0.43,0.12,0.2,298,0.36
PN,0.5,0.17,8.34,298,0.93
PN-600-2,1104,0.6,3.64,298,3.94
PN-600-3,1363,0.72,2.74,298,4.03
PN-600-4,1428,0.69,1.65,298,3.94
PN-650-2,1445,0.74,2.72,298,4.57
PN-650-3,1779,0.83,1.87,298,4.25
PN-650-4,1897,0.85,1.28,298,4.17
PN-700-2,1539,0.72,1.59,298,4.25
PN-700-3,2269,0.95,1.22,298,3.96
PN-700-4,2329,0.95,1.01,298,3.76
P-650-2,1108,0.52,0.17,298,3.32
LSM,6,0.11,10.29,298,1.39
LSM-500-1,673,0.35,7.13,298,3.34
LSM-500-2,776,0.4,5.87,298,3.57
LSM-500-3,1368,0.6,3.78,298,3.93
LSM-550-1,1207,0.48,4.02,298,3.27
LSM-550-2,1941,0.86,3.65,298,4.25
LSM-550-3,2131,0.84,3.25,298,4.06
LSM-600-1,1239,0.57,3.21,298,3.02
LSM-600-2,2077,0.85,2.48,298,3.46
LSM-600-3,2534,0.91,1.55,298,3.23
AC,70,0.0422,0.92,298,0.54
NAC-400-1.5,419,0.0724,3.79,298,1.93
NAC-450-1.5,589,0.1032,7.24,298,2.53
NAC-500-1.5,802,0.0976,1.52,298,1.96
NAC-400-2.5,516,0.0732,3.52,298,1.7
NAC-450-2.5,1687,0.1069,1.89,298,3.06
NAC-500-2.5,1721,0.0615,2.54,298,2.15
