sample,SA,NMV,N,T,CO2ad
GO,6,0.08,0.67,298,0.39
T-G,190,0.1,0.71,298,0.48
GU,12,0.04,6.52,298,0.13
T-GU,63,0.09,12.94,298,0.46
T-GU-700-4,731,0.35,4.42,298,1.04
T-GU-700-6,1032,0.59,2.59,298,2.4
T-GU-700-8,1264,0.36,2.03,298,1.6
T-GU-750-6,1089,0.37,1.94,298,1.64
T-G-700-6,1296,0.43,0.86,298,1.97
GU-700-6,360,0.18,1.32,298,0.95
PC-550-1,855,0.36,13.05,298,3.33
PC-550-2,1338,0.51,11.32,298,3.57
PC-550-3,1655,0.64,9.84,298,3.77
PC-600-1,1980,0.73,7.38,298,3.95
PC-600-2,2362,0.91,6.21,298,3.74
PC-600-3,2430,0.83,5.36,298,3.51
PC-650-1,2406,0.91,3.89,298,3.54
PC-650-2,2672,0.9,3.04,298,3.16
PC-650-3,2644,0.93,2.65,298,3.15
PC-700-1,2112,0.83,2.83,298,3.02
PC-700-2,2747,0.83,2.36,298,3.46
PC-700-3,2436,0.82,1.84,298,3.23
R,536,0.32,1.05,298,2.82
RN,2,0.26,3.96,298,2.17
RNK-550-1,1097,0.57,1.77,298,4.55
RNK-550-2,1482,0.7,1.41,298,5.01
RNK-550-3,2023,0.93,1.32,298,4.82
RNK-600-1,1310,0.65,1.54,298,4.77
RNK-600-2,1802,0.88,1.36,298,4.54
RNK-600-3,2200,1.02,1.29,298,4.4
RNK-650-1,1450,0.71,1.37,298,4.3
RNK-650-2,1875,0.92,1.29,298,4.11
RNK-650-3,2374,1.05,1.2,298,3.92
RUK-550-2,1099,0.52,2.74,298,3.81
CS-650-1/2,1023,0.52,6.75,298,4.15
CS-650-2/3,904,0.44,6.28,298,3.56
CS-650-1/1,1028,0.5,5.98,298,3.85
CS-700-1/2,1428,0.69,4.32,298,4.08
CS-700-2/3,1506,0.75,3.49,298,4.4
CS-700-1/1,1548,0.66,3.07,298,4.06
CS-750-1/2,1811,0.85,2.26,298,4.04
CS-750-2/3,1771,0.88,2.01,298,4.21
CS-750-1/1,1854,0.85,1.72,298,3.8
WSC-400-1,669,0.33,3.05,298,3.29
WSC-400-2,1450,0.59,3.26,298,3.63
WSC-400-3,1310,0.5,3.58,298,3.18
WSC-450-1,1036,0.48,2.73,298,4.06
WSC-450-2,2412,0.84,3.14,298,4.04
WSC-450-3,2596,0.83,3.35,298,3.59
WSC-500-1,1416,0.62,2.42,298,4.5
WSC-500-2,2615,0.88,2.68,298,3.6
WSC-500-3,2446,0.81,3.12,298,3.39
PAN-CNFs,25,0.0004,12.52,298,1.98
1.2PAN/0.6PVP-CNFs,309,0.097,10.95,298,2.09
1.0PAN/0.8PVP-CNFs,349,0.1,10.55,298,2.3
0.8PAN/1.0PVP-CNFs,410,0.14,10.32,298,2.5
1.2PAN/0.6PEG-CNFs,484,0.14,9.71,298,2.2
MNSC,32,0.17,0.89,298,1.57
MNSM,6,0.12,10.77,298,1.09
MNSM-650-1,959,0.45,5.71,298,3.76
MNSM-650-2,1073,0.48,4.56,298,3.98
MNSM-650-3,1177,0.54,3.13,298,4.26
MNSM-700-1,1230,0.56,3.57,298,4.12
MNSM-700-2,1604,0.72,2.62,298,4.35
MNSM-700-3,1517,0.69,2.34,298,4.17
MNSM-750-1,1609,0.71,3.01,298,4.09
MNSM-750-2,1731,0.77,2.01,298,4.07
MNSM-750-3,1730,0.76,1.6,298,3.99
MFC-600-0.1,278,0.22,16.07,298,2.02
MFC-600-0.2,895,0.4,14.51,298,2.74
MFC-650-0.1,435,0.23,15.23,298,2.06
MFC-650-0.2,1070,0.58,13.97,298,2.86
MFC-700-0.1,768,0.39,14.72,298,2.88
MFC-700-0.2,1658,0.62,13.38,298,3.3
MFC-750-0.1,554,0.36,11.64,298,2.54
MFC-750-0.2,1373,0.51,9.67,298,2.47
MFRC-550-1,546,0.36,18.34,298,2.61
MFRC-550-2,746,0.46,13.03,298,2.67
MFRC-550-3,617,0.37,10.34,298,2.58
MFRC-600-1,596,0.36,14.02,298,2.86
MFRC-600-2,694,0.37,10.07,298,2.64
MFRC-600-3,743,0.35,8.16,298,2.54
MFRC-650-1,1591,0.74,10.14,298,3.52
MFRC-650-2,1525,0.68,7.53,298,3.1
MFRC-650-3,1476,0.6,6.43,298,2.9
C,21,0.17,0.26,298,1.5
NC-600-2,1023,0.51,1.35,298,4.1
