sample,SA,MV,N,T,CO2ad
UFC-650-3,2023,0.98,7.51,273,4.5
UFC-650-4,1651,0.76,6.32,273,4.62
UFK-550-0.2,474,0.17,22.42,273,2.5
UFK-550-0.3,688,0.26,20.34,273,3.16
UFK-600-0.1,388,0.14,21.32,273,2.81
UFK-600-0.2,865,0.33,19.69,273,4.03
UFK-600-0.3,895,0.32,18.32,273,3.95
UFK-650-0.1,662,0.25,19.34,273,2.95
UFK-650-0.2,980,0.41,18.2,273,3.71
UFK-650-0.3,950,0.37,16.85,273,3.52
LC-450-1,792,0.29,3.53,273,4.6
LC-450-2,1651,0.67,3.85,273,5.18
LC-450-3,1557,0.54,4.27,273,3.81
LC-500-1,833,0.31,3.24,273,4.87
LC-500-2,1924,0.79,3.64,273,4.92
LC-500-3,1667,0.72,4.04,273,4.44
LC-550-1,1087,0.45,2.55,273,5.04
LC-550-2,1883,0.9,3.04,273,3.58
LC-550-3,1311,0.56,3.65,273,3.68
NGC,65,0.02,20.66,273,2.4
NGC-600-2,933,0.36,12.27,273,4.8
NGC-600-3,1005,0.39,12.21,273,4.84
NGC-600-4,1170,0.46,11.81,273,5.32
NGC-650-2,1754,0.68,10.51,273,5.45
NGC-650-3,1699,0.65,9.54,273,5.87
NGC-650-4,1824,0.69,7.74,273,6.23
NGC-700-2,2572,1.09,6.57,273,6.23
NGC-700-3,2510,1.23,5.03,273,6.16
NGC-700-4,2827,1.23,4.69,273,6.05
GC-650-4,1020,0.38,0.32,273,5.74
HSM-550-1,1118,0.41,4.94,273,5.36
HSM-550-2,1696,0.64,4.32,273,6.34
HSM-550-3,1354,0.51,3.88,273,5.74
HSM-600-1,1523,0.56,3.68,273,5.66
HSM-600-2,2319,0.93,3.27,273,6.04
HSM-600-3,2195,0.88,2.47,273,5.91
HSM-650-1,1661,0.64,2.53,273,5.84
HSM-650-2,2178,0.98,1.89,273,5.34
HSM-650-3,2054,0.88,1.33,273,5.69
EN-400-1,710,0.25,2.71,273,2.94
EN-400-2,1270,0.44,2.8,273,4.27
EN-400-3,1010,0.35,3.01,273,4.09
EN-450-1,1100,0.37,2.27,273,4.63
EN-450-2,1920,0.62,2.62,273,5.17
EN-450-3,1530,0.44,2.96,273,4.39
EN-500-1,770,0.27,1.52,273,3.72
EN-500-2,2270,0.67,1.78,273,4.66
EN-500-3,1290,0.4,1.94,273,3.76
MC,1764,0.8,1.82,273,2.99
PSC,1145,0.56,0.15,273,2.38
PSC-NM0.25,1366,0.66,0.86,273,3.62
PSC-NM0.5,1553,0.75,0.91,273,4.14
PSC-NM2,1283,0.61,1.37,273,3.26
WSM-500-1,759,0.28,8.48,273,4.21
WSM-500-2,1275,0.48,7.26,273,5.69
WSM-500-3,1601,0.62,4.36,273,6.04
WSM-550-1,1131,0.41,7.15,273,5.06
WSM-550-2,1535,0.58,4.9,273,5.86
WSM-550-3,2129,0.8,4.01,273,6.06
WSM-600-1,1391,0.54,4.63,273,5.47
WSM-600-2,2194,0.92,3.78,273,5.97
WSM-600-3,2384,0.99,2.76,273,5.81
WSM-650-1,1649,0.63,3.81,273,5.92
WSM-650-2,2164,0.96,3.02,273,5.3
WSM-650-3,2171,1.02,2.63,273,4.93
HSC-500-1,502,0.19,2.74,273,3.17
HSC-500-2,1991,0.76,2.94,273,6.23
HSC-500-3,1833,0.72,3.21,273,5.55
HSC-550-1,1099,0.41,2.53,273,6.06
HSC-550-2,1821,0.71,2.75,273,5.71
HSC-550-3,2185,0.9,2.97,273,5.52
HSC-600-1,1343,0.5,1.98,273,6.16
HSC-600-2,2318,0.95,2.14,273,5.91
HSC-600-3,2321,1.02,2.3,273,5.53
P30,880,0.32,7.36,273,4.46
P50,787,0.3,7.88,273,4.41
P80,891,0.32,8.05,273,4.4
LSC-400-1,848,0.3,3.77,273,4.26
LSC-400-2,1164,0.44,4.01,273,4.86
LSC-400-3,1087,0.43,4.5,273,3.96
LSC-450-1,1105,0.41,3.21,273,4.54
LSC-450-2,2053,0.84,3.64,273,5.62
LSC-450-3,1921,0.9,4.03,273,5
LSC-500-1,1113,0.41,2.61,273,5.45
LSC-500-2,2264,1.13,3.08,273,4.59
LSC-500-3,1824,0.88,3.45,273,4.35
R,536,0.2,1.05,273,3.71
RN-400-1,735,0.27,2.72,273,4.8
RN-400-2,936,0.34,4.56,273,5.44
RN-400-3,1115,0.41,5.36,273,5.24
RN-400-4,1003,0.36,6.05,273,4.83
RN-450-1,787,0.29,1.56,273,4.91
RN-450-2,1088,0.41,3.9,273,5.75
RN-450-3,1432,0.53,4.25,273,6.68
RN-450-4,1569,0.57,5.94,273,6.21
RN-500-1,932,0.35,1.39,273,5.45
RN-500-2,1288,0.48,3.85,273,6.65
RN-500-3,1924,0.71,4.09,273,7.13
RN-500-4,2155,0.83,5.74,273,6.41
RK-450-3,704,0.26,1.07,273,4.62
GN-600-1,821,0.29,12.17,273,5.33
GN-600-2,1267,0.5,11.93,273,6.23
GN-600-3,1398,0.51,11.67,273,6.11
GN-600-4,1412,0.51,11.23,273,5.9
GN-650-1,1734,0.62,9.24,273,6.7
GN-650-2,1960,0.74,8.56,273,6.14
GN-650-3,2167,0.82,7.23,273,6.28
GN-650-4,2016,0.78,6.85,273,6.11
GN-700-1,2394,0.93,6.94,273,6.46
GN-700-2,2659,1.16,6.72,273,5.73
GN-700-3,2655,1.21,6.43,273,5.36
GN-700-4,2470,0.88,6.2,273,5.24
LNAC-600,1305,0.626,7.98,273,6.43
LNAC-650,1991,0.931,5.53,273,6.74
LNAC-700,1996,0.929,4.26,273,5.99
LNAC-750,2213,1.001,2.07,273,6.13
LNAC-800,978,0.453,1.48,273,5.05
R,536,0.2,1.05,273,3.71
RUK-600-2,1040,0.4,2.33,273,6.09
RUK-600-3,1404,0.53,2.13,273,6.95
RUK-600-4,1621,0.63,1.95,273,6.86
RUK-650-2,1556,0.59,1.88,273,7.13
RUK-650-3,1844,0.71,1.56,273,6.68
RUK-650-4,1955,0.76,1.38,273,7.01
RUK-700-2,1914,0.78,1.62,273,6.28
RUK-700-3,2172,0.9,1.45,273,6.28
RUK-700-4,2015,0.84,1.26,273,5.32
RK-600-3,984,0.36,1.01,273,5.94
C,21,0.01,0.26,273,2
CN-600-2,947,0.34,2.76,273,4.87
CN-600-3,1082,0.39,2.74,273,5.12
