sample,SA,N,T,CO2ad
CN-800-2,1329,1.13,273,4.49
CN-800-3,1430,0.86,273,4.51
C-600-3,329,0.23,273,3.33
CK-600-3,1383,1.08,273,6
NPC-1-500,1376,4.6,273,7.5
UC-600-2,1239,1.98,273,5.69
UC-600-3,1500,0.86,273,6.3
UC-600-4,1636,0.28,273,5.58
UC-650-2,1394,1.64,273,6.27
UC-650-3,1755,0.81,273,6.75
UC-650-4,1900,0.58,273,6.72
UC-700-2,1734,1.26,273,5.93
UC-700-3,2232,0.64,273,6.36
UC-700-4,2299,0.29,273,6.1
C-650-2,1088,0.17,273,4.65
AHEP,418,2.6,273,2.39
a-MCN,682.8,14.45,273,3.82
HC,12,2.93,273,1.21
PC-700,1454,1.71,273,5.73
NPC-500,1114,3.8,273,5.44
NPC-600,1311,3.73,273,6.84
NPC-700,1501,2.43,273,6.98
NPC-800,1734,2.03,273,5.53
GMK-3-800,3247,2.07,273,8.03
GMK-2-800,2136,6.94,273,7.72
CS1-6A,1224,2.8,273,5.5
CS2-6A,1147,3.05,273,5.8
CS3-6A,1184,3.55,273,6.2
N-CP,38.5,8.9,273,0.62
N-AC-500-2,1152,9.1,273,5.87
N-AC-600-1,1173.8,7.2,273,5.68
N-AC-600-2,1504.8,7.7,273,7.1
N-AC-600-3,1684.4,7.4,273,7.18
N-AC-700-2,1702.2,5.6,273,6.81
SU-MAC-500,941,5.8,273,6.03
SU-MAC-600,1500,4,273,6.49
SU-MAC-800,2369,3.2,273,5.2
BILP-5,626,12.64,273,2.9
CPC-550,1630,7.88,273,8.3
CPC-600,2059,6.34,273,7.5
CPC-650,2967,5.38,273,6.8
CPC-700,3242,4.22,273,5.9
CPC-800,2872,1,273,5.4
PFK-650-1,605,14.36,273,4.18
PFK-650-1.5,759,11.98,273,4.64
PFK-650-2,989,9.43,273,4.58
PFK-700-1,1294,12.17,273,5.36
PFK-700-1.5,1757,7.68,273,6.16
PFK-700-2,2106,3.91,273,5.38
PFK-750-1,2032,7.31,273,6.09
PFK-750-1.5,2292,4.01,273,5.36
PFK-750-2,2330,2.92,273,5.4
LC,3.82,1.55,273,1.16
LCM,4.32,19.68,273,0.52
LCM-500-1,687,7.69,273,4.04
LCM-500-2,1392,5.53,273,5.22
LCM-500-3,1491,3.97,273,5.14
LCM-550-1,1122,6.83,273,4.78
LCM-550-2,1487,4.09,273,5.44
LCM-550-3,2074,3.01,273,5.89
LCM-600-1,1272,4.97,273,5.05
LCM-600-2,2182,3.67,273,5.04
LCM-600-3,2340,2.54,273,5.36
LCM-650-1,1500,3.21,273,4.75
LCM-650-2,1860,2.29,273,4.24
LCM-650-3,2124,1.26,273,4.05
NPC-500,1854,10.3,273,6.7
NPC-600,2208,7.41,273,8.3
NPC-700,2565,4.3,273,7.2
NPC-500,537,5.84,273,6.2
NPC-600,958,3.57,273,6.9
SC,17,3.38,273,0.85
SC-600-2,935,3.68,273,5.27
SC-600-4,1441,5.16,273,5.75
SC-650-2,1117,5.38,273,6.36
SC-650-4,1482,5.06,273,5.62
SC-700-2,1408,3.81,273,5.57
SC-700-4,1577,2.6,273,5.5
C,21,0.26,273,2
HC,38,0.34,273,2.05
NC,13,14.43,273,2.26
NHC,14,15.48,273,2.12
NHC-600-1,1037,8,273,5.15
NHC-600-2,1187,6.42,273,5.73
NHC-600-3,1970,4.21,273,6.32
NHC-600-4,2339,3.26,273,5.93
NHC-650-1,1593,5.72,273,6.53
NHC-650-2,1694,4.64,273,6.28
NHC-650-3,1952,3.42,273,6.4
NHC-650-4,2492,2.01,273,6
NHC-700-1,2234,3.55,273,6.79
NHC-700-2,2241,2.15,273,6.67
NHC-700-3,2782,1.96,273,6.54
NHC-700-4,2995,1.83,273,5.68
NC-650-1,1483,4.56,273,6.15
NP,2.37,9.16,273,0.77
HNP,0.13,11.08,273,1.06
HNP-600-2,1479,3.25,273,5.05
HNP-600-3,1699,2.68,273,5.89
HNP-600-4,1888,1.7,273,5.35
HNP-650-2,1394,2.79,273,5.87
HNP-650-3,2363,1.61,273,6.24
HNP-650-4,2526,1.41,273,5.24
HNP-700-2,1703,2.18,273,5.91
HNP-700-3,2423,1.34,273,6.24
HNP-700-4,2532,1.2,273,5.38
NP-650-3,1755,0.81,273,6.75
PN,0.5,8.34,273,1.18
PN-600-2,1104,3.64,273,5.8
PN-600-3,1363,2.74,273,6.08
PN-600-4,1428,1.65,273,5.89
PN-650-2,1445,2.72,273,6.41
PN-650-3,1779,1.87,273,6.6
PN-650-4,1897,1.28,273,6.62
PN-700-2,1539,1.59,273,6.05
PN-700-3,2269,1.22,273,6.38
PN-700-4,2329,1.01,273,6.21
P-650-2,1108,0.17,273,4.65
CF-1,422,11.91,273,3.13
ACF-1,536,11.02,273,3.21
ACF-2,497,9.83,273,3.17
ACF-3,691,9.43,273,3.39
ACF-4,675,9.31,273,3.57
LSM,6,10.29,273,1.75
LSM-500-1,673,7.13,273,4.21
LSM-500-2,776,5.87,273,4.59
LSM-500-3,1368,3.78,273,5.75
LSM-550-1,1207,4.02,273,4.77
LSM-550-2,1941,3.65,273,6.59
LSM-550-3,2131,3.25,273,6.12
LSM-600-1,1239,3.21,273,4.34
LSM-600-2,2077,2.48,273,6.07
LSM-600-3,2534,1.55,273,5.38
AC-CC-P-600,1220,1.5,273,5.22
AC-CC-P-700,1338,1.2,273,6.53
AC-CC-P-800,1546,1,273,7.17
CTS-NaNH2(1:1)-400,67,8.24,273,1.7
CTS-NaNH2(1:1)-600,1462,7.23,273,4.98
CTS-NaNH2(1:1)-700,1740,5.12,273,6.33
CTS-NaNH2(1:1)-800,2398,3.58,273,4.25
CTS-NaNH2(2:1)-800,1767,2.73,273,2.89
CTS-NaNH2(1:1)-900,1933,1.75,273,3.36
C0600,828,8.47,273,5.19
C2600,963,10.77,273,5.51
C0700,2217,4.81,273,6.77
C2700,2408,7.35,273,6.45
C0800,2399,1.77,273,6.73
C2800,2658,2.89,273,5.97
MNC-2-600,1212,5.48,273,5.09
MNC-3-600,984,7.93,273,4.62
MNC-2-700,2039,4.47,273,6.44
MNC-3-700,1738,6.66,273,5.79
MNC-2-800,2423,1.49,273,6.01
MNC-3-800,1888,5.84,273,5.03
NDHPC-0U-700,1560,4.51,273,5.91
NDHPC-1U-700,1747,5.24,273,6.04
NDHPC-2U-700,1705,5.39,273,5.65
NDHPC-3U-700,1872,6.31,273,5.51
NDHPC-0U-800,1859,1.48,273,6.24
NDHPC-1U-800,1851,1.49,273,6.29
NDHPC-2U-800,2395,1.98,273,5.71
NDHPC-3U-800,2545,2.25,273,5.36
AC,70,0.92,273,1.47
NAC-400-1.5,419,3.79,273,2.6
NAC-450-1.5,589,7.24,273,4.17
NAC-500-1.5,802,1.52,273,3.88
NAC-400-2.5,516,3.52,273,2.67
NAC-450-2.5,1687,1.89,273,5.22
NAC-500-2.5,1721,2.54,273,3.17
ASPC5-2,3007,0.27,273,5.92
ASPC5-3,3166,0.28,273,4.61
ASPC5-3.5,3366,0.19,273,5.08
PANI_C400_K550,1965,7.7,273,6.1
PANI_C400_K615,3185,5.1,273,6
PANI_C400_KC650,1695,7,273,7.7
PANI_C400_KC800,2675,0.2,273,6.2
PANI_C550_K550,2335,6,273,6.3
PANI_C800_K550,1990,2.6,273,5.9
