sample,SA,N,T,CO2ad
U/PC-0.5,2067,0.63,273,6.57
U/PC-1,1703,0.81,273,5.6
U/PC-2,775,1.37,273,3.7
U/PC-3,404,3.21,273,2.59
GO,6,0.67,273,0.51
T-G,190,0.71,273,0.65
GU,12,6.52,273,0.14
T-GU,63,12.94,273,0.54
T-GU-700-4,731,4.42,273,1.8
T-GU-700-6,1032,2.59,273,3.24
T-GU-700-8,1264,2.03,273,1.93
T-GU-750-6,1089,1.94,273,2.15
T-G-700-6,1296,0.86,273,2.52
GU-700-6,360,1.32,273,1.43
PC-550-1,855,13.05,273,4.19
PC-550-2,1338,11.32,273,5.03
PC-550-3,1655,9.84,273,5.61
PC-600-1,1980,7.38,273,6.01
PC-600-2,2362,6.21,273,6.37
PC-600-3,2430,5.36,273,5.23
PC-650-1,2406,3.89,273,5.76
PC-650-2,2672,3.04,273,5.1
PC-650-3,2644,2.65,273,5.47
PC-700-1,2112,2.83,273,5.72
PC-700-2,2747,2.36,273,4.94
PC-700-3,2436,1.84,273,4.52
R,536,1.05,273,3.71
RN,2,3.96,273,2.79
RNK-550-1,1097,1.77,273,6.7
RNK-550-2,1482,1.41,273,6.73
RNK-550-3,2023,1.32,273,7.39
RNK-600-1,1310,1.54,273,6.8
RNK-600-2,1802,1.36,273,7.22
RNK-600-3,2200,1.29,273,7.47
RNK-650-1,1450,1.37,273,6.68
RNK-650-2,1875,1.29,273,6.8
RNK-650-3,2374,1.2,273,6.92
RUK-550-2,1099,2.74,273,5.71
CS-650-1/2,1023,6.75,273,5.55
CS-650-2/3,904,6.28,273,5.03
CS-650-1/1,1028,5.98,273,5.17
CS-700-1/2,1428,4.32,273,6.22
CS-700-2/3,1506,3.49,273,6.91
CS-700-1/1,1548,3.07,273,6.37
CS-750-1/2,1811,2.26,273,6.64
CS-750-2/3,1771,2.01,273,6.9
CS-750-1/1,1854,1.72,273,6.14
N-MC-10,557,5.57,273,3.68
N-MC-3,843,2.61,273,4.33
CMPA1-C1000,977,1.6,273,4.3
CMPA2-C1000,292,2.1,273,4.8
CMPA3-C1000,800,2.1,273,5.1
GMC-Md/g-40-800,784,15.7,273,3.2
GMC-Md/g-20-800,692,15.1,273,2.97
GMC-Mm/g-40-800,501,21.8,273,1.78
GMC-Mm/g-40-700,404,22.3,273,3.43
WSC-400-1,669,3.05,273,4.06
WSC-400-2,1450,3.26,273,5.34
WSC-400-3,1310,3.58,273,4.57
WSC-450-1,1036,2.73,273,5.44
WSC-450-2,2412,3.14,273,6.04
WSC-450-3,2596,3.35,273,5.46
WSC-500-1,1416,2.42,273,6.04
WSC-500-2,2615,2.68,273,5.39
WSC-500-3,2446,3.12,273,4.91
CEM700,2878,3.7,273,5.61
CEM750,3360,5.2,273,6.92
CEM800,2762,7.6,273,4.84
RFC,724,1.61,273,3.81
RFC_C45,1611,1.55,273,6.86
RFC_C120,2842,1.34,273,5.59
RFC_N10,1458,2.83,273,7.14
PFC,743,1.46,273,4.55
PFC_C45,1588,1.29,273,6.77
PFC_C120,3283,0.81,273,5.77
NDAB3-500,1863,5.4,273,3.6
NDAB3-600,1340,4.1,273,3.3
NDAB3-700,1420,3.5,273,3.3
MPA-1-700,225.8,21,273,3.24
AC,2095,0.1,273,2.52
MNSC,32,0.89,273,2.16
MNSM,6,10.77,273,1.4
MNSM-650-1,959,5.71,273,5.25
MNSM-650-2,1073,4.56,273,5.52
MNSM-650-3,1177,3.13,273,6
MNSM-700-1,1230,3.57,273,5.95
MNSM-700-2,1604,2.62,273,6.61
MNSM-700-3,1517,2.34,273,6.45
MNSM-750-1,1609,3.01,273,6.32
MNSM-750-2,1731,2.01,273,6.43
MNSM-750-3,1730,1.6,273,6.27
GA-550,778,5.5,273,4.9
GA-600,962,5.3,273,6.4
GA-650,1229,3.3,273,5.8
GA-700,1513,3.1,273,5.5
N1N40X50,533,6,273,2.57
N2.3N360F30,700,4.3,273,3.14
N0.8A80F50,747,4.8,273,3.44
N2.38A360F30,355,3.4,273,2.19
MFC-600-0.1,278,16.07,273,2.55
MFC-600-0.2,895,14.51,273,3.76
MFC-650-0.1,435,15.23,273,2.72
MFC-650-0.2,1070,13.97,273,4.28
MFC-700-0.1,768,14.72,273,4.25
MFC-700-0.2,1658,13.38,273,4.95
MFC-750-0.1,554,11.64,273,3.26
MFC-750-0.2,1373,9.67,273,3.79
MFRC-550-1,546,18.34,273,3.58
MFRC-550-2,746,13.03,273,3.87
MFRC-550-3,617,10.34,273,3.71
MFRC-600-1,596,14.02,273,4.02
MFRC-600-2,694,10.07,273,3.55
MFRC-600-3,743,8.16,273,3.56
MFRC-650-1,1591,10.14,273,5.42
MFRC-650-2,1525,7.53,273,4.91
MFRC-650-3,1476,6.43,273,4.55
C,21,0.26,273,2
NC-600-2,1023,1.35,273,5.6
NC-600-3,1383,1.08,273,6
NC-600-4,1604,0.81,273,6.7
NC-650-2,1178,1.23,273,5.9
NC-650-3,1535,0.91,273,7
NC-650-4,1687,0.7,273,6.7
NC-700-2,1550,0.86,273,6.1
NC-700-3,1596,0.73,273,7
NC-700-4,1937,0.61,273,6.8
C-650-3,1513,0.23,273,5
C-650-3-N,1012,8.01,273,4.8
UFC-550-2,760,17.25,273,4.47
UFC-550-3,873,15.08,273,4.7
UFC-550-4,649,12.04,273,3.85
UFC-600-2,1254,11.74,273,4.03
UFC-600-3,1686,9.87,273,5.42
UFC-600-4,1246,8.86,273,4.93
UFC-650-2,2244,8.47,273,5.36
UFC-650-3,2023,7.51,273,4.5
UFC-650-4,1651,6.32,273,4.62
UFK-550-0.1,8,23.51,273,1.83
UFK-550-0.2,474,22.42,273,2.5
UFK-550-0.3,688,20.34,273,3.16
UFK-600-0.1,388,21.32,273,2.81
UFK-600-0.2,865,19.69,273,4.03
UFK-600-0.3,895,18.32,273,3.95
UFK-650-0.1,662,19.34,273,2.95
UFK-650-0.2,980,18.2,273,3.71
UFK-650-0.3,950,16.85,273,3.52
LC,4,1.55,273,1.16
LC-450-1,792,3.53,273,4.6
LC-450-2,1651,3.85,273,5.18
LC-450-3,1557,4.27,273,3.81
LC-500-1,833,3.24,273,4.87
LC-500-2,1924,3.64,273,4.92
LC-500-3,1667,4.04,273,4.44
LC-550-1,1087,2.55,273,5.04
LC-550-2,1883,3.04,273,3.58
LC-550-3,1311,3.65,273,3.68
GC,20,0.54,273,0.96
NGC,65,20.66,273,2.4
NGC-600-2,933,12.27,273,4.8
NGC-600-3,1005,12.21,273,4.84
NGC-600-4,1170,11.81,273,5.32
NGC-650-2,1754,10.51,273,5.45
NGC-650-3,1699,9.54,273,5.87
NGC-650-4,1824,7.74,273,6.23
NGC-700-2,2572,6.57,273,6.23
NGC-700-3,2510,5.03,273,6.16
NGC-700-4,2827,4.69,273,6.05
GC-650-4,1020,0.32,273,5.74
HSC,93,1.22,273,1.97
HSM,4.4,16.89,273,1.38
HSM-550-1,1118,4.94,273,5.36
HSM-550-2,1696,4.32,273,6.34
HSM-550-3,1354,3.88,273,5.74
HSM-600-1,1523,3.68,273,5.66
HSM-600-2,2319,3.27,273,6.04
HSM-600-3,2195,2.47,273,5.91
HSM-650-1,1661,2.53,273,5.84
HSM-650-2,2178,1.89,273,5.34
HSM-650-3,2054,1.33,273,5.69
EN-400-1,710,2.71,273,2.94
EN-400-2,1270,2.8,273,4.27
EN-400-3,1010,3.01,273,4.09
EN-450-1,1100,2.27,273,4.63
EN-450-2,1920,2.62,273,5.17
EN-450-3,1530,2.96,273,4.39
EN-500-1,770,1.52,273,3.72
EN-500-2,2270,1.78,273,4.66
EN-500-3,1290,1.94,273,3.76
MC,1764,1.82,273,2.99
PSC,1145,0.15,273,2.38
PSC-NM0.25,1366,0.86,273,3.62
PSC-NM0.5,1553,0.91,273,4.14
PSC-NM2,1283,1.37,273,3.26
WSC,22,1.03,273,2.02
WSM,5,16.61,273,1.25
WSM-500-1,759,8.48,273,4.21
WSM-500-2,1275,7.26,273,5.69
WSM-500-3,1601,4.36,273,6.04
WSM-550-1,1131,7.15,273,5.06
WSM-550-2,1535,4.9,273,5.86
WSM-550-3,2129,4.01,273,6.06
WSM-600-1,1391,4.63,273,5.47
WSM-600-2,2194,3.78,273,5.97
WSM-600-3,2384,2.76,273,5.81
WSM-650-1,1649,3.81,273,5.92
WSM-650-2,2164,3.02,273,5.3
WSM-650-3,2171,2.63,273,4.93
HSC,93,1.22,273,1.97
HSC-500-1,502,2.74,273,3.17
HSC-500-2,1991,2.94,273,6.23
HSC-500-3,1833,3.21,273,5.55
HSC-550-1,1099,2.53,273,6.06
HSC-550-2,1821,2.75,273,5.71
HSC-550-3,2185,2.97,273,5.52
HSC-600-1,1343,1.98,273,6.16
HSC-600-2,2318,2.14,273,5.91
HSC-600-3,2321,2.3,273,5.53
P30,880,7.36,273,4.46
P50,787,7.88,273,4.41
P80,891,8.05,273,4.4
LSC-400-1,848,3.77,273,4.26
LSC-400-2,1164,4.01,273,4.86
LSC-400-3,1087,4.5,273,3.96
LSC-450-1,1105,3.21,273,4.54
LSC-450-2,2053,3.64,273,5.62
LSC-450-3,1921,4.03,273,5
LSC-500-1,1113,2.61,273,5.45
LSC-500-2,2264,3.08,273,4.59
LSC-500-3,1824,3.45,273,4.35
R,536,1.05,273,3.71
RN-400-1,735,2.72,273,4.8
RN-400-2,936,4.56,273,5.44
RN-400-3,1115,5.36,273,5.24
RN-400-4,1003,6.05,273,4.83
RN-450-1,787,1.56,273,4.91
RN-450-2,1088,3.9,273,5.75
RN-450-3,1432,4.25,273,6.68
RN-450-4,1569,5.94,273,6.21
RN-500-1,932,1.39,273,5.45
RN-500-2,1288,3.85,273,6.65
RN-500-3,1924,4.09,273,7.13
RN-500-4,2155,5.74,273,6.41
RK-450-3,704,1.07,273,4.62
GN,5,17.14,273,1.01
GN-600-1,821,12.17,273,5.33
GN-600-2,1267,11.93,273,6.23
GN-600-3,1398,11.67,273,6.11
GN-600-4,1412,11.23,273,5.9
GN-650-1,1734,9.24,273,6.7
GN-650-2,1960,8.56,273,6.14
GN-650-3,2167,7.23,273,6.28
GN-650-4,2016,6.85,273,6.11
GN-700-1,2394,6.94,273,6.46
GN-700-2,2659,6.72,273,5.73
GN-700-3,2655,6.43,273,5.36
GN-700-4,2470,6.2,273,5.24
LNAC-600,1305,7.98,273,6.43
LNAC-650,1991,5.53,273,6.74
LNAC-700,1996,4.26,273,5.99
LNAC-750,2213,2.07,273,6.13
LNAC-800,978,1.48,273,5.05
R,536,1.05,273,3.71
RUK-600-2,1040,2.33,273,6.09
RUK-600-3,1404,2.13,273,6.95
RUK-600-4,1621,1.95,273,6.86
RUK-650-2,1556,1.88,273,7.13
RUK-650-3,1844,1.56,273,6.68
RUK-650-4,1955,1.38,273,7.01
RUK-700-2,1914,1.62,273,6.28
RUK-700-3,2172,1.45,273,6.28
RUK-700-4,2015,1.26,273,5.32
RK-600-3,984,1.01,273,5.94
C,21,0.26,273,2
CN-600-2,947,2.76,273,4.87
CN-600-3,1082,2.74,273,5.12
CN-600-4,1324,1.52,273,5.08
CN-700-2,1199,1.42,273,4.62
CN-700-3,1354,1.34,273,4.59
