sample,SA,N6,temp,CO2ad
U/PC-0.5,2067,0.09,273,6.57
U/PC-1,1703,0.17,273,5.6
U/PC-2,775,0.24,273,3.7
U/PC-3,404,0.88,273,2.59
PC-550-3,1655,3.92,273,5.61
PC-600-1,1980,2.77,273,6.01
PC-600-2,2362,2.31,273,6.37
CS-650-2/3,904,2.1,273,5.03
CS-700-2/3,1506,1.19,273,6.91
CS-750-2/3,1771,0.78,273,6.9
CMPA1-C1000,977,0.54,273,4.3
CMPA2-C1000,292,0.55,273,4.8
CMPA3-C1000,800,0.78,273,5.1
RFC,724,0.48,273,3.81
RFC_C45,1611,0.35,273,6.86
RFC_N10,1458,0.67,273,7.14
MNSM,6,8.53,273,1.4
MNSM-650-2,1073,1.33,273,5.52
MNSM-650-3,1177,1.02,273,6
MNSM-700-2,1604,0.9,273,6.61
MNSM-750-2,1731,0.68,273,6.43
N1N40X50,533,2.84,273,2.57
N2.3N360F30,700,2.9,273,3.14
N0.8A80F50,747,2.43,273,3.44
N2.38A360F30,355,3.17,273,2.19
MFC-700-0.1,768,5.89,273,4.25
MFC-700-0.2,1658,5.44,273,4.95
MFC-750-0.2,1373,4.18,273,3.79
MFRC-600-1,596,5.01,273,4.02
MFRC-650-1,1591,3.69,273,5.42
MFRC-650-2,1525,1.54,273,4.91
NC-600-4,1604,0.29,273,6.7
NC-650-3,1535,0.3,273,7
NC-700-3,1596,0.26,273,7
NC-700-4,1937,0.32,273,6.8
UFC,0.39,12.37,273,1.08
UFC-550-2,760,6.74,273,4.47
UFC-600-3,1686,3.04,273,5.42
UFC-650-4,1651,1.87,273,4.62
UFK-600-0.2,865,8.47,273,4.03
UFK-600-0.3,895,7.72,273,3.95
UFK-650-0.3,950,7.16,273,3.52
EN-400-2,1270,0.55,273,4.27
EN-450-2,1920,0.53,273,5.17
EN-500-2,2270,0.43,273,4.66
WSM,5,12.19,273,1.25
WSM-550-1,1131,2.43,273,5.06
WSM-550-2,1535,1.66,273,5.86
WSM-550-3,2129,1.35,273,6.06
LNAC-600,1305,1.3,273,6.43
LNAC-650,1991,0.93,273,6.74
LNAC-700,1996,0.79,273,5.99
LNAC-750,2213,0.33,273,6.13
LNAC-800,978,0.46,273,5.05
GMK-3-800,3247,0.12,273,8.03
GMK-2-800,2136,1.5,273,7.72
N-AC-500-2,1152,3.37,273,5.87
N-AC-600-1,1173.8,2.6,273,5.68
N-AC-600-2,1504.8,3.13,273,7.1
N-AC-600-3,1684.4,2.17,273,7.18
N-AC-700-2,1702.2,1.52,273,6.81
SU-MAC-500,941,0.76,273,6.03
SU-MAC-600,1500,0.31,273,6.49
SU-MAC-800,2369,0.54,273,5.2
PFK-650-1.5,759,5.33,273,4.64
PFK-700-1.5,1757,2.75,273,6.16
PFK-750-1,2032,2.78,273,6.09
PFK-750-1.5,2292,1.23,273,5.36
HNP-600-2,1479,1.22,273,5.05
HNP-650-3,2363,0.81,273,6.24
HNP-700-2,1703,0.93,273,5.91
HNP-700-4,2532,0.62,273,5.38
NP-650-3,1755,0.25,273,6.75
CF-1,422,5.12,273,3.13
ACF-1,536,5.27,273,3.21
ACF-2,497,4.12,273,3.17
ACF-3,691,2.82,273,3.39
ACF-4,675,2.38,273,3.57
