sample,SA,N5,temp,CO2ad
U/PC-0.5,2067,0.43,273,6.57
U/PC-1,1703,0.43,273,5.6
U/PC-2,775,0.82,273,3.7
U/PC-3,404,1.82,273,2.59
PC-550-3,1655,5.92,273,5.61
PC-600-1,1980,4.61,273,6.01
PC-600-2,2362,3.9,273,6.37
CS-650-2/3,904,4.18,273,5.03
CS-700-2/3,1506,2.3,273,6.91
CS-750-2/3,1771,1.23,273,6.9
CMPA1-C1000,977,0.62,273,4.3
CMPA2-C1000,292,1,273,4.8
CMPA3-C1000,800,0.95,273,5.1
RFC,724,0.77,273,3.81
RFC_C45,1611,0.9,273,6.86
RFC_N10,1458,1.34,273,7.14
MNSM,6,2.24,273,1.4
MNSM-650-2,1073,3.23,273,5.52
MNSM-650-3,1177,2.11,273,6
MNSM-700-2,1604,1.72,273,6.61
MNSM-750-2,1731,1.33,273,6.43
N1N40X50,533,2.47,273,2.57
N2.3N360F30,700,0.86,273,3.14
N0.8A80F50,747,1.71,273,3.44
N2.38A360F30,355,0.14,273,2.19
MFC-700-0.1,768,7.91,273,4.25
MFC-700-0.2,1658,6.22,273,4.95
MFC-750-0.2,1373,3.98,273,3.79
MFRC-600-1,596,9.01,273,4.02
MFRC-650-1,1591,6.45,273,5.42
MFRC-650-2,1525,5.99,273,4.91
NC-600-4,1604,0.41,273,6.7
NC-650-3,1535,0.43,273,7
NC-700-3,1596,0.39,273,7
NC-700-4,1937,0.2,273,6.8
UFC,0.39,10.46,273,1.08
UFC-550-2,760,10.51,273,4.47
UFC-600-3,1686,6.83,273,5.42
UFC-650-4,1651,4.45,273,4.62
UFK-600-0.2,865,11.22,273,4.03
UFK-600-0.3,895,10.6,273,3.95
UFK-650-0.3,950,9.69,273,3.52
EN-400-2,1270,1.89,273,4.27
EN-450-2,1920,1.62,273,5.17
EN-500-2,2270,1.01,273,4.66
WSM,5,4.42,273,1.25
WSM-550-1,1131,4.72,273,5.06
WSM-550-2,1535,3.24,273,5.86
WSM-550-3,2129,2.66,273,6.06
LNAC-600,1305,3.91,273,6.43
LNAC-650,1991,2.59,273,6.74
LNAC-700,1996,2.32,273,5.99
LNAC-750,2213,1.24,273,6.13
LNAC-800,978,0.63,273,5.05
GMK-3-800,3247,0.45,273,8.03
GMK-2-800,2136,1.64,273,7.72
N-AC-500-2,1152,5.73,273,5.87
N-AC-600-1,1173.8,4.11,273,5.68
N-AC-600-2,1504.8,4.38,273,7.1
N-AC-600-3,1684.4,4.48,273,7.18
N-AC-700-2,1702.2,3.23,273,6.81
SU-MAC-500,941,5.01,273,6.03
SU-MAC-600,1500,3.69,273,6.49
SU-MAC-800,2369,2.66,273,5.2
PFK-650-1.5,759,6.65,273,4.64
PFK-700-1.5,1757,4.93,273,6.16
PFK-750-1,2032,4.53,273,6.09
PFK-750-1.5,2292,2.78,273,5.36
HNP-600-2,1479,1.61,273,5.05
HNP-650-3,2363,0.68,273,6.24
HNP-700-2,1703,0.82,273,5.91
HNP-700-4,2532,0.4,273,5.38
NP-650-3,1755,0.46,273,6.75
CF-1,422,4.37,273,3.13
ACF-1,536,5.17,273,3.21
ACF-2,497,4.96,273,3.17
ACF-3,691,5.81,273,3.39
ACF-4,675,5.17,273,3.57
