sample,SA,MV,N,T,CO2ad
U/PC-0.5,2067,0.71,0.63,298,4.25
U/PC-1,1703,0.57,0.81,298,3.64
U/PC-2,775,0.25,1.37,298,2.72
U/PC-3,404,0.12,3.21,298,2
T-GU-700-4,731,0.29,4.42,298,1.04
T-GU-700-6,1032,0.61,2.59,298,2.4
T-GU-700-8,1264,0.67,2.03,298,1.6
T-GU-750-6,1089,0.71,1.94,298,1.64
T-G-700-6,1296,0.75,0.86,298,1.97
GU-700-6,360,0.15,1.32,298,0.95
PC-550-1,855,0.31,13.05,298,3.33
PC-550-2,1338,0.49,11.32,298,3.57
PC-550-3,1655,0.63,9.84,298,3.77
PC-600-1,1980,0.76,7.38,298,3.95
PC-600-2,2362,1.02,6.21,298,3.74
PC-600-3,2430,1.16,5.36,298,3.51
PC-650-1,2406,1.08,3.89,298,3.54
PC-650-2,2672,1.31,3.04,298,3.16
PC-650-3,2644,1.32,2.65,298,3.15
PC-700-1,2112,0.92,2.83,298,3.02
PC-700-2,2747,1.19,2.36,298,3.46
PC-700-3,2436,1.15,1.84,298,3.23
R,536,0.2,1.05,298,2.82
RNK-550-1,1097,0.4,1.77,298,4.55
RNK-550-2,1482,0.56,1.41,298,5.01
RNK-550-3,2023,0.75,1.32,298,4.82
RNK-600-1,1310,0.49,1.54,298,4.77
RNK-600-2,1802,0.7,1.36,298,4.54
RNK-600-3,2200,0.83,1.29,298,4.4
RNK-650-1,1450,0.55,1.37,298,4.3
RNK-650-2,1875,0.81,1.29,298,4.11
RNK-650-3,2374,0.93,1.2,298,3.92
RUK-550-2,1099,0.44,2.74,298,3.81
CS-650-1/2,1023,0.39,6.75,298,4.15
CS-650-2/3,904,0.34,6.28,298,3.56
CS-650-1/1,1028,0.39,5.98,298,3.85
CS-700-1/2,1428,0.55,4.32,298,4.08
CS-700-2/3,1506,0.58,3.49,298,4.4
CS-700-1/1,1548,0.62,3.07,298,4.06
CS-750-1/2,1811,0.75,2.26,298,4.04
CS-750-2/3,1771,0.72,2.01,298,4.21
CS-750-1/1,1854,0.79,1.72,298,3.8
GMC-Md/g-40-800,784,0.01,15.7,298,2.79
GMC-Md/g-20-800,692,0.01,15.1,298,2.31
GMC-Mm/g-40-800,501,0.02,21.8,298,1.43
GMC-Mm/g-40-700,404,0.02,22.3,298,2.67
UC-5-2-600,851,0.398,0.825,298,4.52
